# X, Y1, Y2, Y3, Y4, Y5, Y6, Y7, Y8, Y9, Y10
 1.81818182e+00 -3.66679864e+00 -5.79559654e+00 1.38623323e+01 -5.41101416e+00 1.70759531e+00 7.49969856e+00 6.84890686e+00 -7.34868449e-01 9.19119643e+00 -3.99361175e+00
 1.87878788e+00 -3.58667680e+00 -5.76022835e+00 1.41513489e+01 -5.33746741e+00 1.42742111e+00 7.49952223e+00 6.51793389e+00 -8.12501431e-01 9.63733799e+00 -3.87892959e+00
 1.93939394e+00 -3.48996861e+00 -5.74462718e+00 1.44729424e+01 -5.26679126e+00 1.18865376e+00 7.49924274e+00 6.05356669e+00 -8.86583553e-01 9.79962578e+00 -3.75945069e+00
 2.00000000e+00 -3.37457856e+00 -5.74338844e+00 1.48119538e+01 -5.19853754e+00 9.93318097e-01 7.49879979e+00 5.43763846e+00 -9.57457230e-01 9.66539283e+00 -3.63418517e+00
 2.06060606e+00 -3.23877671e+00 -5.74895195e+00 1.51518633e+01 -5.13230971e+00 8.37650667e-01 7.49809780e+00 4.67876227e+00 -1.02546444e+00 9.24511071e+00 -3.50224136e+00
 2.12121212e+00 -3.08151317e+00 -5.75146297e+00 1.54749517e+01 -5.06776167e+00 7.15015478e-01 7.49698540e+00 3.82403723e+00 -1.09096023e+00 8.57157191e+00 -3.36285858e+00
 2.18181818e+00 -2.90276689e+00 -5.73879292e+00 1.57622514e+01 -5.00459666e+00 6.18191329e-01 7.49522287e+00 2.95273318e+00 -1.15432759e+00 7.69732995e+00 -3.21544264e+00
 2.24242424e+00 -2.70386631e+00 -5.69686647e+00 1.59931672e+01 -4.94256591e+00 5.40687030e-01 7.49243091e+00 2.14892874e+00 -1.21599332e+00 6.69059722e+00 -3.05960232e+00
 2.30303030e+00 -2.48769463e+00 -5.61049223e+00 1.61446274e+01 -4.88146701e+00 4.77265060e-01 7.48800981e+00 1.47062353e+00 -1.27644448e+00 5.62992017e+00 -2.89518523e+00
 2.36363636e+00 -2.25868819e+00 -5.46490326e+00 1.61896538e+01 -4.82114184e+00 4.23988325e-01 7.48101290e+00 9.36730854e-01 -1.33624415e+00 4.59804742e+00 -2.72231077e+00
 2.42424242e+00 -2.02256874e+00 -5.24811053e+00 1.60954104e+01 -4.76147403e+00 3.78045293e-01 7.46994930e+00 5.34905097e-01 -1.39604471e+00 3.67546883e+00 -2.54139815e+00
 2.48484848e+00 -1.78581840e+00 -4.95388195e+00 1.58212828e+01 -4.70238597e+00 3.37508460e-01 7.45248000e+00 2.37645060e-01 -1.45659625e+00 2.93412923e+00 -2.35318728e+00
 2.54545455e+00 -1.55498837e+00 -4.58467933e+00 1.53186383e+01 -4.64383539e+00 3.01102389e-01 7.42495734e+00 1.53040965e-02 -1.51874711e+00 2.43180669e+00 -2.15875045e+00
 2.60606061e+00 -1.33599208e+00 -4.15340443e+00 1.45356806e+01 -4.58581153e+00 2.68010384e-01 7.38174702e+00 -1.57274910e-01 -1.58343270e+00 2.20759299e+00 -1.95949301e+00
 2.66666667e+00 -1.13353919e+00 -3.68273190e+00 1.34321062e+01 -4.52833100e+00 2.37725166e-01 7.31427812e+00 -2.98880971e-01 -1.65164913e+00 2.27882741e+00 -1.75714176e+00
 2.72727273e+00 -9.50815738e-01 -3.20151435e+00 1.20053205e+01 -4.47143344e+00 2.09939005e-01 7.20982821e+00 -4.22397495e-01 -1.72440763e+00 2.63972089e+00 -1.55372002e+00
 2.78787879e+00 -7.89434914e-01 -2.73908614e+00 1.03182349e+01 -4.41517705e+00 1.84465761e-01 7.05024777e+00 -5.36010383e-01 -1.80266695e+00 3.26177480e+00 -1.35150936e+00
 2.84848485e+00 -6.49609590e-01 -2.31944215e+00 8.50396539e+00 -4.35963412e+00 1.61187349e-01 6.81128914e+00 -6.44422936e-01 -1.88724183e+00 4.09595700e+00 -1.15299821e+00
 2.90909091e+00 -5.30458335e-01 -1.95733848e+00 6.72890736e+00 -4.30488670e+00 1.40018286e-01 6.46402492e+00 -7.49840210e-01 -1.97868765e+00 5.07645873e+00 -9.60818905e-01
 2.96969697e+00 -4.30354562e-01 -1.65729686e+00 5.13256294e+00 -4.25102243e+00 1.20883309e-01 5.98071831e+00 -8.52705102e-01 -2.07716365e+00 6.12573006e+00 -7.77674803e-01
 3.03030303e+00 -3.47250865e-01 -1.41512386e+00 3.78815387e+00 -4.19813069e+00 1.03704247e-01 5.34703612e+00 -9.52239143e-01 -2.18227983e+00 7.16038795e+00 -6.06260238e-01
 3.09090909e+00 -2.78940911e-01 -1.22075900e+00 2.70487414e+00 -4.14629913e+00 8.83933156e-02 4.57817301e+00 -1.04684882e+00 -2.29293566e+00 8.09751863e+00 -4.49176427e-01
 3.15151515e+00 -2.23247369e-01 -1.06126569e+00 1.85477184e+00 -4.09561063e+00 7.48507233e-02 3.72840933e+00 -1.13444537e+00 -2.40716128e+00 8.86086015e+00 -3.08846842e-01
 3.21212121e+00 -1.78141291e-01 -9.23238797e-01 1.19909276e+00 -4.04614077e+00 6.29650654e-02 2.88085728e+00 -1.21270959e+00 -2.52197486e+00 9.38635580e+00 -1.87435792e-01
 3.27272727e+00 -1.41806498e-01 -7.94396706e-01 7.03163229e-01 -3.99795573e+00 5.26153909e-02 2.11778803e+00 -1.27931898e+00 -2.63327201e+00 9.62661793e+00 -8.67739306e-02
 3.33333333e+00 -1.12664303e-01 -6.64439824e-01 3.41155588e-01 -3.95111080e+00 4.36741435e-02 1.49157107e+00 -1.33214436e+00 -2.73576593e+00 9.55393669e+00 -8.29416247e-03
 3.39393939e+00 -8.93722967e-02 -5.25377887e-01 9.54611127e-02 -3.90564934e+00 3.60104195e-02 1.01558273e+00 -1.36941618e+00 -2.82300057e+00 9.16161512e+00 4.70190043e-02
 3.45454545e+00 -7.08079246e-02 -3.71528593e-01 -4.57810769e-02 -3.86160219e+00 2.94931630e-02 6.74440919e-01 -1.38985718e+00 -2.88746372e+00 8.46361833e+00 7.86642521e-02
 3.51515152e+00 -5.60444710e-02 -1.99341432e-01 -9.12377731e-02 -3.81898755e+00 2.39940521e-02 4.40113538e-01 -1.39277684e+00 -2.92083304e+00 7.49279525e+00 8.66407630e-02
 3.57575758e+00 -4.43244734e-02 -7.14617341e-03 -4.83964159e-02 -3.77781127e+00 1.93899372e-02 2.83815411e-01 -1.37812379e+00 -2.91439359e+00 6.29824184e+00 7.14472872e-02
 3.63636364e+00 -3.50335863e-02 2.05117543e-01 7.50561864e-02 -3.73806744e+00 1.55647630e-02 1.81595907e-01 -1.34649437e+00 -2.85966380e+00 4.94261602e+00 3.40631304e-02
 3.69696970e+00 -2.76765433e-02 4.36161708e-01 2.70404643e-01 -3.69973921e+00 1.24109655e-02 1.15602196e-01 -1.29909840e+00 -2.74924906e+00 3.50012598e+00 -2.40878716e-02
 3.75757576e+00 -2.18559610e-02 6.83591518e-01 5.27502015e-01 -3.66279994e+00 9.83036869e-03 7.33508643e-02 -1.23768633e+00 -2.57789335e+00 2.05514610e+00 -1.01188502e-01
 3.81818182e+00 -1.72541732e-02 9.44124822e-01 8.34682876e-01 -3.62721435e+00 7.73463585e-03 4.64448035e-02 -1.16444467e+00 -2.34361195e+00 6.99962318e-01 -1.95091841e-01
 3.87878788e+00 -1.36179783e-02 1.21379119e+00 1.17890539e+00 -3.59293989e+00 6.04533882e-03 2.93692098e-02 -1.08186907e+00 -2.04867524e+00 -4.70957613e-01 -3.03394333e-01
 3.93939394e+00 -1.07460181e-02 1.48811352e+00 1.54605587e+00 -3.55992808e+00 4.69371969e-03 1.85558885e-02 -9.92625395e-01 -1.70012481e+00 -1.37169130e+00 -4.23514783e-01
 4.00000000e+00 -8.47845108e-03 1.76227517e+00 1.92136410e+00 -3.52812584e+00 3.62021569e-03 1.17176321e-02 -8.99409877e-01 -1.30951880e+00 -1.93847463e+00 -5.52775668e-01
 4.06060606e+00 -6.68857161e-03 2.03127465e+00 2.28988791e+00 -3.49747680e+00 2.77381567e-03 7.39693329e-03 -8.04818376e-01 -8.91782426e-01 -2.14090822e+00 -6.88483224e-01
 4.12121212e+00 -5.27605279e-03 2.29006954e+00 2.63703210e+00 -3.46792250e+00 2.11130806e-03 4.66843327e-03 -7.11233333e-01 -4.63347726e-01 -1.98624278e+00 -8.28003062e-01
 4.18181818e+00 -4.16152438e-03 2.53371005e+00 2.94907183e+00 -3.43940351e+00 1.59647233e-03 2.94599683e-03 -6.20734715e-01 -4.00541287e-02 -1.51622017e+00 -9.68828454e-01
 4.24242424e+00 -3.28223868e-03 2.75746255e+00 3.21365393e+00 -3.41186042e+00 1.19925568e-03 1.85890234e-03 -5.35038624e-01 3.64628078e-01 -7.99207787e-01 -1.10863902e+00
 4.30303030e+00 -2.58861631e-03 2.95692244e+00 3.42025316e+00 -3.38523467e+00 8.94967917e-04 1.17289095e-03 -4.55464584e-01 7.40653303e-01 7.91947832e-02 -1.24534817e+00
 4.36363636e+00 -2.04149951e-03 3.12811589e+00 3.56056349e+00 -3.35946928e+00 6.63518473e-04 7.40020983e-04 -3.82930051e-01 1.08164571e+00 1.02518564e+00 -1.37713832e+00
 4.42424242e+00 -1.60997196e-03 3.26758947e+00 3.62880802e+00 -3.33450940e+00 4.88711856e-04 4.66897104e-04 -3.17968731e-01 1.38451470e+00 1.94480772e+00 -1.50248364e+00
 4.48484848e+00 -1.26963076e-03 3.37248683e+00 3.62195473e+00 -3.31030281e+00 3.57611384e-04 2.94572696e-04 -2.60767867e-01 1.64873992e+00 2.75097252e+00 -1.62016054e+00
 4.54545455e+00 -1.00121823e-03 3.44061157e+00 3.53982928e+00 -3.28680015e+00 2.59975587e-04 1.85848951e-04 -2.11218919e-01 1.87559483e+00 3.36947939e+00 -1.72924688e+00
 4.60606061e+00 -7.89539559e-04 3.47047552e+00 3.38512026e+00 -3.26395523e+00 1.87767575e-04 1.17253392e-04 -1.68975930e-01 2.06747517e+00 3.74392972e+00 -1.82911115e+00
 4.66666667e+00 -6.22607262e-04 3.46133193e+00 3.16327625e+00 -3.24172506e+00 1.34734658e-04 7.39757287e-05 -1.33516273e-01 2.22739435e+00 3.83933569e+00 -1.91939327e+00
 4.72727273e+00 -4.90965116e-04 3.41319315e+00 2.88229873e+00 -3.22006991e+00 9.60533496e-05 4.66715433e-05 -1.04199292e-01 2.35863974e+00 3.64420653e+00 -1.99997871e+00
 4.78787879e+00 -3.87154283e-04 3.32683267e+00 2.55243830e+00 -3.19895329e+00 6.80336560e-05 2.94451987e-05 -8.03193678e-02 2.46455336e+00 3.17095257e+00 -2.07096801e+00
 4.84848485e+00 -3.05291784e-04 3.20377164e+00 2.18580583e+00 -3.17834180e+00 4.78758756e-05 1.85770371e-05 -6.11511086e-02 2.54839678e+00 2.45455366e+00 -2.13264342e+00
 4.90909091e+00 -2.40737799e-04 3.04625039e+00 1.79591321e+00 -3.15820502e+00 3.34730031e-05 1.17202851e-05 -4.59854442e-02 2.61326788e+00 1.54956835e+00 -2.18543436e+00
 4.96969697e+00 -1.89833114e-04 2.85718537e+00 1.39716103e+00 -3.13851533e+00 2.32520337e-05 7.39434577e-06 -3.41563745e-02 2.66204845e+00 5.25691396e-01 -2.22988333e+00
 5.03030303e+00 -1.49691965e-04 2.64011269e+00 1.00429266e+00 -3.11924773e+00 1.60479185e-05 4.66510306e-06 -2.50588819e-02 2.69737078e+00 -5.37814540e-01 -2.26661352e+00
 5.09090909e+00 -1.18038610e-04 2.39911926e+00 6.31835312e-01 -3.10037958e+00 1.10045189e-05 2.94321963e-06 -1.81590550e-02 2.72159761e+00 -1.55839442e+00 -2.29629897e+00
 5.15151515e+00 -9.30784099e-05 2.13876303e+00 2.93549360e-01 -3.08189046e+00 7.49757761e-06 1.85688096e-06 -1.29977871e-02 2.73681293e+00 -2.45670555e+00 -2.31963824e+00
 5.21212121e+00 -7.33961453e-05 1.86398378e+00 1.90671232e-03 -3.06376191e+00 5.07541236e-06 1.17150847e-06 -9.18952567e-03 2.74482248e+00 -3.16285234e+00 -2.33733183e+00
 5.27272727e+00 -5.78758119e-05 1.58000650e+00 -2.32381982e-01 -3.04597723e+00 3.41369685e-06 7.39106102e-07 -6.41751733e-03 2.74716300e+00 -3.62187035e+00 -2.35006363e+00
 5.33333333e+00 -4.56373675e-05 1.29223897e+00 -4.00773374e-01 -3.02852133e+00 2.28131126e-06 4.66302918e-07 -4.42684147e-03 2.74511885e+00 -3.79803596e+00 -2.35848634e+00
 5.39393939e+00 -3.59868466e-05 1.00616580e+00 -4.97215324e-01 -3.01138050e+00 1.51479112e-06 2.94191061e-07 -3.01631328e-03 2.73974412e+00 -3.67766810e+00 -2.36321071e+00
 5.45454545e+00 -2.83770194e-05 7.27240925e-01 -5.18376400e-01 -2.99454226e+00 9.99383438e-07 1.85605486e-07 -2.03009793e-03 2.73188855e+00 -3.27020549e+00 -2.36479824e+00
 5.51515152e+00 -2.23763676e-05 4.60780631e-01 -4.63772277e-01 -2.97799524e+00 6.55126607e-07 1.17098719e-07 -1.34964024e-03 2.72222505e+00 -2.60747665e+00 -2.36375689e+00
 5.57575758e+00 -1.76446181e-05 2.11859319e-01 -3.35784247e-01 -2.96172899e+00 4.26711620e-07 7.38777185e-08 -8.86302313e-04 2.71127732e+00 -1.74122061e+00 -2.36053943e+00
 5.63636364e+00 -1.39134498e-05 -1.47900327e-02 -1.39569131e-01 -2.94573391e+00 2.76160931e-07 4.66095387e-08 -5.74924540e-04 2.69944600e+00 -7.39052364e-01 -2.35554384e+00
 5.69696970e+00 -1.09712802e-05 -2.14868699e-01 1.17135982e-01 -2.93000113e+00 1.77586888e-07 2.94060122e-08 -3.68389384e-04 2.68703249e+00 3.20811438e-01 -2.34911535e+00
 5.75757576e+00 -8.65126702e-06 -3.84596543e-01 4.24306778e-01 -2.91452240e+00 1.13470445e-07 1.85522876e-08 -2.33170062e-04 2.67425987e+00 1.35565491e+00 -2.34154972e+00
 5.81818182e+00 -6.82184857e-06 -5.20786178e-01 7.70011434e-01 -2.89929003e+00 7.20410644e-08 1.17046597e-08 -1.45784030e-04 2.66129057e+00 2.28471685e+00 -2.33309722e+00
 5.87878788e+00 -5.37928298e-06 -6.20905514e-01 1.14086262e+00 -2.88429682e+00 4.54470040e-08 7.38448344e-09 -9.00369113e-05 2.64824101e+00 3.03549245e+00 -2.32396718e+00
 5.93939394e+00 -4.24176568e-06 -6.83127452e-01 1.52252465e+00 -2.86953599e+00 2.84879012e-08 4.65887912e-09 -5.49296250e-05 2.63519327e+00 3.54939092e+00 -2.31433266e+00
 6.00000000e+00 -3.34479057e-06 -7.06365762e-01 1.90025662e+00 -2.85500114e+00 1.77438561e-08 2.93929256e-09 -3.31031989e-05 2.62220422e+00 3.78630745e+00 -2.30433508e+00
